timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
743693766,-0.00076286,-0.00114746,0.00132912,0.851093,-0.00787565,0.0129913,-0.524796,0.870776,-0.0397471,-0.0356996,-0.488769,1
743725665,-0.000622574,0.00014653,0.0016752,0.851103,-0.00787763,0.0129878,-0.524779,0.870776,-0.0397471,-0.0356996,-0.488769,1
743753716,0.000509611,-0.000850962,0.00086412,0.851112,-0.00788687,0.0129741,-0.524765,0.870776,-0.0397471,-0.0356996,-0.488769,1
743785666,0.000910797,0.00152487,-0.000444432,0.851108,-0.00788572,0.0129808,-0.52477,0.870776,-0.0397471,-0.0356996,-0.488769,1
743818526,0.00135717,0.000603397,0.000139613,0.851101,-0.00787129,0.0129929,-0.524782,0.870776,-0.0397471,-0.0356996,-0.488769,1
743850667,-0.00143587,0.000468327,-0.000447393,0.851104,-0.00786819,0.0129969,-0.524776,0.870776,-0.0397471,-0.0356996,-0.488769,1
743882601,0.000168138,3.94781e-05,-0.000562363,0.851112,-0.00786523,0.0130002,-0.524764,0.870776,-0.0397471,-0.0356996,-0.488769,1
743914492,-0.000470268,-0.000567192,0.000102852,0.851123,-0.00785765,0.0129866,-0.524747,0.870776,-0.0397471,-0.0356996,-0.488769,1
743946603,-0.000162844,-1.99428e-05,-0.00149343,0.85112,-0.00785929,0.0129774,-0.524751,0.870776,-0.0397471,-0.0356996,-0.488769,1
743974501,0.00018287,0.00118535,-0.000623413,0.851121,-0.0078442,0.0129881,-0.524751,0.870776,-0.0397471,-0.0356996,-0.488769,1
744006553,-0.000672443,-0.00048576,-0.000302231,0.851122,-0.00783944,0.0129961,-0.524749,0.870776,-0.0397471,-0.0356996,-0.488769,1
744038611,0.000436196,-0.00112489,0.0019302,0.851132,-0.00783507,0.0129885,-0.524732,0.870776,-0.0397471,-0.0356996,-0.488769,1
744070587,-0.000649533,0.000417504,0.000814233,0.85114,-0.00783599,0.0129832,-0.524719,0.870776,-0.0397471,-0.0356996,-0.488769,1
744102504,-0.000142672,-0.000187968,-0.000532656,0.851133,-0.00783737,0.0129785,-0.52473,0.870776,-0.0397471,-0.0356996,-0.488769,1
744134629,-0.000283169,0.00108883,-0.000505716,0.851131,-0.00783638,0.0129837,-0.524733,0.870776,-0.0397471,-0.0356996,-0.488769,1
744163314,-0.000460529,0.00027199,-2.95163e-05,0.851136,-0.00783415,0.0129922,-0.524726,0.870776,-0.0397471,-0.0356996,-0.488769,1
744195329,-0.000320958,-0.000817585,0.001519,0.851146,-0.00784012,0.0129963,-0.524709,0.870776,-0.0397471,-0.0356996,-0.488769,1
744227370,0.000927448,-0.000768214,0.000535124,0.851152,-0.0078347,0.0130034,-0.5247,0.870776,-0.0397471,-0.0356996,-0.488769,1
