timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
743693766,23617696,31.0276903,121.4409744,4.7511,-4.17275,1.1302,0.000512231,0.000809682,0.0,-0.00560216,-0.0040591,-0.00981879,-0.0126235,-0.00535803,-0.00263178,0.038596,-0.0144809,-0.0073172,0.00264769,-1.10528,2.14036,0.102177,0.00981879,0.117526,0.190893,0.0885865,0.0841742,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
743793651,23617696,31.0276903,121.4409744,4.75062,-4.17213,1.12949,0.000512231,0.000809682,0.0,-0.00615316,-0.00349395,-0.0096801,-0.012032,-0.00535803,-0.00263178,0.038596,-0.0184804,0.00222657,-0.0182635,-1.10523,2.14036,0.103074,0.0096801,0.111136,0.189488,0.0844634,0.0825135,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
743894656,23617696,31.0276903,121.4409744,4.75092,-4.17109,1.12951,0.000512231,0.000809682,0.0,-0.00552327,-0.00338372,-0.00881966,-0.0100876,-0.00535803,-0.00263178,0.038596,-0.0104199,0.0166141,0.0114595,-1.10519,2.14036,0.108866,0.00881966,0.117438,0.190914,0.0885018,0.084171,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
743998533,23617696,31.0276903,121.4409744,4.75126,-4.17027,1.13265,0.000512231,0.000809682,0.0,-0.00491226,-0.00284213,-0.00776809,-0.00505363,-0.00535803,-0.00263178,0.038596,-0.00384666,-0.030614,0.0317748,-1.10517,2.14036,0.107798,0.00776809,0.11174,0.189161,0.0849201,0.0825898,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
744098597,23617696,31.0276903,121.4409744,4.75167,-4.16968,1.13306,0.000512231,0.000809682,0.0,-0.00389914,-0.00253355,-0.0065394,-0.00309479,-0.00535803,-0.00263178,0.038596,-0.00777257,-0.00273019,-0.0271249,-1.10512,2.14036,0.102049,0.0065394,0.117592,0.190995,0.0886505,0.0842136,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
744199301,23617696,31.0276903,121.4409744,4.75175,-4.16921,1.13354,0.000512231,0.000809682,0.0,-0.00352095,-0.00235781,-0.00630797,-0.00224792,-0.00535803,-0.00263178,0.038596,0.00208457,-0.00836073,-0.000191605,-1.10508,2.14036,0.108201,0.00630797,0.11181,0.190019,0.0849887,0.0827679,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
744303308,23617696,31.0276903,121.4409744,4.75143,-4.16893,1.13525,0.000512231,0.000809682,0.0,-0.004215,-0.00217496,-0.00518254,0.000534419,-0.00535803,-0.00263178,0.038596,-0.0190104,-0.00848441,0.00895926,-1.10508,2.14036,0.105709,0.00518254,0.118179,0.191432,0.0890327,0.0844145,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
744404106,23617696,31.0276903,121.4409744,4.75143,-4.1685,1.13671,0.000512231,0.000809682,0.0,-0.00383554,-0.00209729,-0.00391643,0.00284348,-0.00535803,-0.00263178,0.038596,-0.0411733,-0.0184071,-0.00799357,-1.10499,2.14036,0.104206,0.00391643,0.11246,0.190472,0.0854637,0.0829835,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
744504124,23617696,31.0276903,121.4409744,4.7515,-4.16815,1.13693,0.000512231,0.000809682,0.0,-0.003702,-0.00168351,-0.00379081,0.00270922,-0.00535803,-0.00263178,0.038596,0.0145024,0.0142514,0.0573107,-1.1049,2.14036,0.1,0.00379081,0.118378,0.192307,0.0892004,0.084603,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
744608118,23617696,31.0276903,121.4409744,4.75157,-4.16759,1.13569,0.000512231,0.000809682,0.0,-0.0030986,-0.00131225,-0.00310881,0.00171795,-0.00535803,-0.00263178,0.038596,0.0201272,0.00412297,-0.00743015,-1.10491,2.14036,0.1,0.00310881,0.11223,0.190232,0.0852386,0.0829227,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
744708130,23617696,31.0276903,121.4409744,4.75167,-4.16694,1.1337,0.000512231,0.000809682,0.0,-0.00325937,-0.000862865,-0.00277467,-0.000205853,-0.00535803,-0.00263178,0.038596,-0.00972501,0.0229917,0.0361148,-1.10481,2.14036,0.1,0.00277467,0.118636,0.191637,0.0892884,0.0845648,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
744808951,23617696,31.0276903,121.4409744,4.75181,-4.16644,1.13279,0.000512231,0.000809682,0.0,-0.00322297,-0.000785847,-0.00264898,-0.00104064,-0.00535803,-0.00263178,0.038596,-0.0159617,-0.00241316,-0.00841069,-1.10483,2.14036,0.1,0.00264898,0.112143,0.190169,0.0851284,0.0828831,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
744908908,23617696,31.0276903,121.4409744,4.75216,-4.16612,1.13084,0.000512231,0.000809682,0.0,-0.00292613,-0.00143925,-0.0030934,-0.0034175,-0.00535803,-0.00263178,0.038596,0.0143096,0.016838,0.0113453,-1.1048,2.14036,0.1,0.0030934,0.118538,0.192423,0.0891769,0.0846841,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745012909,23617696,31.0276903,121.4409744,4.75249,-4.16603,1.12894,0.000512231,0.000809682,0.0,-0.00234341,-0.000877972,-0.00279799,-0.0046307,-0.00535803,-0.00263178,0.038596,-0.0169155,0.0104715,0.0114857,-1.10466,2.14036,0.100358,0.00279799,0.112738,0.191407,0.0855558,0.0832205,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745113684,23617696,31.0276903,121.4409744,4.75276,-4.16608,1.12912,0.000512231,0.000809682,0.0,-0.00181396,-0.000882029,-0.00164609,-0.00290853,-0.00535803,-0.00263178,0.038596,-0.0131962,0.00994778,-0.00223337,-1.10469,2.14036,0.101664,0.00164609,0.118668,0.192342,0.0892953,0.0846623,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745213661,23617696,31.0276903,121.4409744,4.75269,-4.16638,1.12902,0.000512231,0.000809682,0.0,-0.00144853,-0.000674541,-0.00240403,-0.00348945,-0.00535803,-0.00263178,0.038596,-0.0113686,0.00715095,-0.0381423,-1.10464,2.14036,0.1,0.00240403,0.11293,0.191346,0.085743,0.0832242,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745317773,23617696,31.0276903,121.4409744,4.75246,-4.16685,1.1272,0.000512231,0.000809682,0.0,-0.00214703,-0.00143848,-0.00436754,-0.00679518,-0.00535803,-0.00263178,0.038596,0.002701,0.0109561,-0.00309857,-1.10454,2.14036,0.1,0.00436754,0.119398,0.192741,0.0897999,0.0848622,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745418669,23617696,31.0276903,121.4409744,4.75178,-4.16733,1.12718,0.000512231,0.000809682,0.0,-0.00254736,-0.00311042,-0.00441747,-0.00618895,-0.00535803,-0.00263178,0.038596,0.0138672,0.00896893,-0.00124174,-1.10456,2.14036,0.10228,0.00441747,0.113049,0.191233,0.0858472,0.0832135,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745518618,23617696,31.0276903,121.4409744,4.751,-4.16795,1.12566,0.000512231,0.000809682,0.0,-0.00345729,-0.00352336,-0.00496705,-0.00752511,-0.00535803,-0.00263178,0.038596,-0.0195633,0.00957366,-0.0219962,-1.10449,2.14036,0.102526,0.00496705,0.119531,0.19261,0.0899081,0.0848455,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745622634,23617696,31.0276903,121.4409744,4.75071,-4.16861,1.12516,0.000512231,0.000809682,0.0,-0.00302969,-0.00545617,-0.0061779,-0.00833397,-0.00535803,-0.00263178,0.038596,0.0032585,-0.015717,0.0161744,-1.10444,2.14036,0.103758,0.0061779,0.113512,0.191575,0.0860953,0.0833612,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745722509,23617696,31.0276903,121.4409744,4.7507,-4.1694,1.12456,0.000512231,0.000809682,0.0,-0.00270485,-0.00614416,-0.0060853,-0.0079908,-0.00535803,-0.00263178,0.038596,0.0201701,-0.0114841,0.0102251,-1.10443,2.14036,0.102021,0.0060853,0.119506,0.193365,0.0898408,0.0849609,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745823293,23617696,31.0276903,121.4409744,4.75053,-4.16952,1.12614,0.000512231,0.000809682,0.0,-0.00216035,-0.00639074,-0.00503897,-0.00455174,-0.00535803,-0.00263178,0.038596,-0.0239552,0.00669244,0.0135348,-1.10435,2.14036,0.108197,0.00503897,0.113449,0.192226,0.0860108,0.0834448,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
745927439,23617696,31.0276903,121.4409744,4.75023,-4.16939,1.12866,0.000512231,0.000809682,0.0,-0.00230747,-0.00528801,-0.00468214,-0.00134813,-0.00535803,-0.00263178,0.038596,-0.00251623,0.00763719,-0.0122451,-1.10426,2.14036,0.10492,0.00468214,0.120002,0.194487,0.0901082,0.0852365,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746028058,23617696,31.0276903,121.4409744,4.75174,-4.16842,1.13054,0.000512231,0.000809682,0.0,-0.000327155,-0.00489401,-0.00303072,0.00207511,-0.00535803,-0.00263178,0.038596,-0.0084826,-0.0227025,0.0222026,-1.10423,2.14036,0.102846,0.00303072,0.114076,0.192416,0.0864565,0.0835709,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746128058,23617696,31.0276903,121.4409744,4.75324,-4.16775,1.13086,0.000512231,0.000809682,0.0,0.00149852,-0.00490255,-0.00244034,0.00263895,-0.00535803,-0.00263178,0.038596,0.0125637,-0.00401588,-0.0202377,-1.10422,2.14036,0.103185,0.00244034,0.120113,0.194202,0.0902088,0.085171,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746232102,23617696,31.0276903,121.4409744,4.75524,-4.1675,1.13128,0.000512231,0.000809682,0.0,0.00390639,-0.00427399,-0.000969805,0.00395956,-0.00535803,-0.00263178,0.038596,-0.0107573,0.0343155,0.0137127,-1.10412,2.14036,0.1,0.000969805,0.114052,0.192005,0.0864716,0.0835132,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746332227,23617696,31.0276903,121.4409744,4.7571,-4.16741,1.1308,0.000512231,0.000809682,0.0,0.00565998,-0.00415794,-0.00112634,0.0027931,-0.00535803,-0.00263178,0.038596,0.0308584,0.0225615,0.00383508,-1.10412,2.14036,0.1,0.00112634,0.120616,0.193347,0.0905362,0.0851348,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746433048,23617696,31.0276903,121.4409744,4.75877,-4.16644,1.12703,0.000512231,0.000809682,0.0,0.0070501,-0.00352945,-0.00331965,-0.00341188,-0.00535803,-0.00263178,0.038596,-0.0124183,0.0149207,-0.0186381,-1.10409,2.14036,0.1,0.00331965,0.114231,0.191818,0.0866287,0.0835091,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746533038,23617696,31.0276903,121.4409744,4.76038,-4.16572,1.12416,0.000512231,0.000809682,0.0,0.00820946,-0.00448606,-0.00439131,-0.00692477,-0.00535803,-0.00263178,0.038596,0.0386521,-0.0132077,-0.0254819,-1.10401,2.14036,0.1,0.00439131,0.120869,0.193234,0.0907383,0.0851532,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746636956,23617696,31.0276903,121.4409744,4.76229,-4.164,1.1244,0.000512231,0.000809682,0.0,0.00930494,-0.00283627,-0.00365166,-0.00514309,-0.00535803,-0.00263178,0.038596,0.0183885,0.0105087,0.000902963,-1.10397,2.14036,0.102693,0.00365166,0.114916,0.191287,0.087087,0.0835555,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746737732,23617696,31.0276903,121.4409744,4.76398,-4.16282,1.12492,0.000512231,0.000809682,0.0,0.0111971,-0.00283736,-0.00409415,-0.00446811,-0.00535803,-0.00263178,0.038596,-0.00514185,-0.0121976,-0.0216561,-1.104,2.14036,0.101741,0.00409415,0.12103,0.193111,0.0908467,0.0851724,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746837701,23617696,31.0276903,121.4409744,4.76585,-4.16139,1.12513,0.000512231,0.000809682,0.0,0.0124307,-0.00196655,-0.00303742,-0.00270206,-0.00535803,-0.00263178,0.038596,-0.000527861,0.00657244,-0.000101577,-1.10396,2.14036,0.1,0.00303742,0.114705,0.191157,0.0868128,0.0835084,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
746941648,23617696,31.0276903,121.4409744,4.76777,-4.16017,1.12488,0.000512231,0.000809682,0.0,0.0141267,-0.00159507,-0.00239975,-0.00205103,-0.00535803,-0.00263178,0.038596,-0.00843357,-0.0136486,-0.011772,-1.104,2.14036,0.1003,0.00239975,0.121367,0.192588,0.0909252,0.0851523,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
747042621,23617696,31.0276903,121.4409744,4.77033,-4.15906,1.12466,0.000512231,0.000809682,0.0,0.0157269,-0.00117652,-0.00195528,-0.00169232,-0.00535803,-0.00263178,0.038596,0.00195185,0.00939484,-0.00336259,-1.10401,2.14036,0.1,0.00195528,0.115298,0.191524,0.0872075,0.0837109,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
747142526,23617696,31.0276903,121.4409744,4.77269,-4.15837,1.12624,0.000512231,0.000809682,0.0,0.016509,-0.00118828,-0.000947659,0.000960769,-0.00535803,-0.00263178,0.038596,-0.0146951,0.025989,0.0142424,-1.10398,2.14036,0.106146,0.000947659,0.121426,0.193347,0.0909661,0.0853219,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
747246682,23617696,31.0276903,121.4409744,4.77363,-4.15708,1.12971,0.000512231,0.000809682,0.0,0.0169332,0.000619103,0.000324468,0.0054216,-0.00535803,-0.00263178,0.038596,0.0170732,0.00401551,-0.0295438,-1.10401,2.14036,0.109465,-0.000324468,0.115064,0.19208,0.08701,0.0838208,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
